name,url,tags
Car For Sale Simulator 2023,https://store.steampowered.com/app/2248760/Car_For_Sale_Simulator_2023,"Immersive Sim,Driving,FPS,Trading,Automobile Sim,Life Sim,3D,Simulation,First-Person,Open World,Conversation,Realistic,Family Friendly,Cinematic,America,Modern,Singleplayer,Inventory Management,Early Access,Indie"
Escape the Backrooms,https://store.steampowered.com/app/1943950/Escape_the_Backrooms,"Horror,Multiplayer,Psychological Horror,Online Co-Op,First-Person,Survival Horror,Co-op,Adventure,Exploration,Action,Indie,Early Access,3D,Escape Room,VR,Singleplayer,Action-Adventure,Casual,Stealth,Dungeon Crawler"
Subnautica,https://store.steampowered.com/app/264710/Subnautica,"Open World Survival Craft,Survival,Open World,Exploration,Horror,Underwater,Crafting,Base Building,Singleplayer,Adventure,First-Person,Sci-fi,Sandbox,Aliens,Atmospheric,Survival Horror,Multiplayer,Action,Indie,Early Access"
Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not,"Tactical,Realistic,FPS,Multiplayer,Shooter,Co-op,Singleplayer,First-Person,Action,Horror,Violent,Gun Customization,Combat,Crime,Modern,Gore,Atmospheric,America,Co-op Campaign,Early Access"
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved,"Open World Survival Craft,Survival,Multiplayer,Open World,Dinosaurs,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Massively Multiplayer,Singleplayer,Early Access,RPG,Dragons,Sci-fi,Indie"
Tiny Bunny,https://store.steampowered.com/app/1421250/Tiny_Bunny,"Visual Novel,Atmospheric,Horror,Story Rich,Dark,Psychological Horror,Choices Matter,Singleplayer,2D,Adventure,Interactive Fiction,Gore,Point & Click,Violent,Mature,Anime,Cute,Great Soundtrack,Early Access,Indie"
Remnant II,https://store.steampowered.com/app/1282100/Remnant_II,"Action,Adventure,Souls-like,RPG,Dark,Action-Adventure,Shooter,Post-apocalyptic,Third-Person Shooter,Combat,Atmospheric,Third Person,Horror,Controller,PvE,Co-op,Multiplayer,Online Co-Op,Singleplayer,Gore"
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III,"Strategy,Simulation,RPG,Grand Strategy,Medieval,Historical,Management,RTS,Character Customization,Life Sim,4X,Sandbox,Singleplayer,Choices Matter,War,Economy,Moddable,Political,Multiplayer,Real-Time with Pause"
Stellaris,https://store.steampowered.com/app/281990/Stellaris,"Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Atmospheric,Great Soundtrack,Procedural Generation"
No Man's Sky,https://store.steampowered.com/app/275850/No_Mans_Sky,"Open World,Open World Survival Craft,Space,Exploration,Sci-fi,Survival,Procedural Generation,Adventure,First-Person,Sandbox,Singleplayer,Multiplayer,Atmospheric,Crafting,Space Sim,Indie,Action,Simulation,FPS,VR"
